vehicle_type,level_of_loading,incline,mean_speed_kmh,t_amb,consumption_kwh_per_km
SB,0.3,0.01,25.2,25,1.624
SB,0.3,0.01,25.2,35,1.846
SB,0.3,0.01,30,-15,2.413
SB,0.3,0.01,30,-5,2.089
SB,0.3,0.01,30,5,1.792
SB,0.3,0.01,30,15,1.523
SB,0.3,0.01,30,25,1.568
SB,0.3,0.01,30,35,1.751
SB,0.3,0.01,37.1,-15,2.241
SB,0.3,0.01,37.1,-5,1.965
SB,0.3,0.01,37.1,5,1.713
SB,0.3,0.01,37.1,15,1.487
SB,0.3,0.01,37.1,25,1.518
SB,0.3,0.01,37.1,35,1.666
SB,0.3,0.02,12.1,-15,5.111
SB,0.3,0.02,12.1,-5,3.966
SB,0.3,0.02,12.1,5,2.987
SB,0.3,0.02,12.1,15,2.177
SB,0.3,0.02,12.1,25,2.284
SB,0.3,0.02,12.1,35,2.834
SB,0.3,0.02,18,-15,3.947
SB,0.3,0.02,18,-5,3.227
SB,0.3,0.02,18,5,2.604
SB,0.3,0.02,18,15,2.078
SB,0.3,0.02,18,25,2.15
SB,0.3,0.02,18,35,2.506
SB,0.3,0.02,25.2,-15,3.099
SB,0.3,0.02,25.2,-5,2.704
SB,0.3,0.02,25.2,5,2.346
SB,0.3,0.02,25.2,15,2.024
SB,0.3,0.02,25.2,25,2.081
SB,0.3,0.02,25.2,35,2.303
SB,0.3,0.02,30,-15,2.882
SB,0.3,0.02,30,-5,2.558
SB,0.3,0.02,30,5,2.261
SB,0.3,0.02,30,15,1.992
SB,0.3,0.02,30,25,2.037
SB,0.3,0.02,30,35,2.22
SB,0.3,0.02,37.1,-15,2.723
SB,0.3,0.02,37.1,-5,2.447
SB,0.3,0.02,37.1,5,2.195
SB,0.3,0.02,37.1,15,1.969
SB,0.3,0.02,37.1,25,2.001
SB,0.3,0.02,37.1,35,2.148
SB,0.3,0.03,12.1,-15,5.551
SB,0.3,0.03,12.1,-5,4.406
SB,0.3,0.03,12.1,5,3.428
SB,0.3,0.03,12.1,15,2.617
SB,0.3,0.03,12.1,25,2.724
SB,0.3,0.03,12.1,35,3.274
SB,0.3,0.03,18,-15,4.401
SB,0.3,0.03,18,-5,3.681
SB,0.3,0.03,18,5,3.057
SB,0.3,0.03,18,15,2.532
SB,0.3,0.03,18,25,2.604
SB,0.3,0.03,18,35,2.96
SB,0.3,0.03,25.2,-15,3.557
SB,0.3,0.03,25.2,-5,3.162
SB,0.3,0.03,25.2,5,2.804
SB,0.3,0.03,25.2,15,2.482
SB,0.3,0.03,25.2,25,2.539
SB,0.3,0.03,25.2,35,2.761
SB,0.3,0.03,30,-15,3.352
SB,0.3,0.03,30,-5,3.027
SB,0.3,0.03,30,5,2.73
SB,0.3,0.03,30,15,2.462
SB,0.3,0.03,30,25,2.507
SB,0.3,0.03,30,35,2.689
SB,0.3,0.03,37.1,-15,3.205
SB,0.3,0.03,37.1,-5,2.929
SB,0.3,0.03,37.1,5,2.677
SB,0.3,0.03,37.1,15,2.451
SB,0.3,0.03,37.1,25,2.483
SB,0.3,0.03,37.1,35,2.63
SB,0.3,0.04,12.1,-15,5.991
SB,0.3,0.04,12.1,-5,4.847
SB,0.3,0.04,12.1,5,3.868
SB,0.3,0.04,12.1,15,3.057
SB,0.3,0.04,12.1,25,3.165
SB,0.3,0.04,12.1,35,3.714
SB,0.3,0.04,18,-15,4.855
SB,0.3,0.04,18,-5,4.135
SB,0.3,0.04,18,5,3.511
SB,0.3,0.04,18,15,2.985
SB,0.3,0.04,18,25,3.057
SB,0.3,0.04,18,35,3.413
SB,0.3,0.04,25.2,-15,4.015
SB,0.3,0.04,25.2,-5,3.62
SB,0.3,0.04,25.2,5,3.262
SB,0.3,0.04,25.2,15,2.94
SB,0.3,0.04,25.2,25,2.997
SB,0.3,0.04,25.2,35,3.219
SB,0.3,0.04,30,-15,3.821
SB,0.3,0.04,30,-5,3.497
SB,0.3,0.04,30,5,3.2
SB,0.3,0.04,30,15,2.931
SB,0.3,0.04,30,25,2.977
SB,0.3,0.04,30,35,3.159
SB,0.3,0.04,37.1,-15,3.687
SB,0.3,0.04,37.1,-5,3.411
SB,0.3,0.04,37.1,5,3.159
SB,0.3,0.04,37.1,15,2.933
SB,0.3,0.04,37.1,25,2.965
SB,0.3,0.04,37.1,35,3.112
SB,0.6,-0.04,12.1,-15,2.329
SB,0.6,-0.04,12.1,-5,1.185
SB,0.6,-0.04,12.1,5,0.207
SB,0.6,-0.04,12.1,15,-0.413
SB,0.6,-0.04,12.1,25,-0.173
SB,0.6,-0.04,12.1,35,0.433
SB,0.6,-0.04,18,-15,1.143
SB,0.6,-0.04,18,-5,0.424
SB,0.6,-0.04,18,5,-0.198
SB,0.6,-0.04,18,15,-0.594
SB,0.6,-0.04,18,25,-0.432
SB,0.6,-0.04,18,35,-0.038
SB,0.6,-0.04,25.2,-15,0.286
SB,0.6,-0.04,25.2,-5,-0.108
SB,0.6,-0.04,25.2,5,-0.465
SB,0.6,-0.04,25.2,15,-0.689
SB,0.6,-0.04,25.2,25,-0.572
SB,0.6,-0.04,25.2,35,-0.322
SB,0.6,-0.04,30,-15,0.061
SB,0.6,-0.04,30,-5,-0.262
SB,0.6,-0.04,30,5,-0.556
SB,0.6,-0.04,30,15,-0.743
SB,0.6,-0.04,30,25,-0.646
SB,0.6,-0.04,30,35,-0.439
SB,0.6,-0.04,37.1,-15,-0.112
SB,0.6,-0.04,37.1,-5,-0.385
SB,0.6,-0.04,37.1,5,-0.634
SB,0.6,-0.04,37.1,15,-0.795
SB,0.6,-0.04,37.1,25,-0.718
SB,0.6,-0.04,37.1,35,-0.55
SB,0.6,-0.03,12.1,-15,2.752
SB,0.6,-0.03,12.1,-5,1.608
SB,0.6,-0.03,12.1,5,0.63
SB,0.6,-0.03,12.1,15,0.01
SB,0.6,-0.03,12.1,25,0.251
SB,0.6,-0.03,12.1,35,0.856
SB,0.6,-0.03,18,-15,1.576
SB,0.6,-0.03,18,-5,0.857
SB,0.6,-0.03,18,5,0.234
SB,0.6,-0.03,18,15,-0.162
SB,0.6,-0.03,18,25,0.001
SB,0.6,-0.03,18,35,0.395
SB,0.6,-0.03,25.2,-15,0.731
SB,0.6,-0.03,25.2,-5,0.337
SB,0.6,-0.03,25.2,5,-0.02
SB,0.6,-0.03,25.2,15,-0.244
SB,0.6,-0.03,25.2,25,-0.127
SB,0.6,-0.03,25.2,35,0.123
SB,0.6,-0.03,30,-15,0.491
SB,0.6,-0.03,30,-5,0.168
SB,0.6,-0.03,30,5,-0.126
SB,0.6,-0.03,30,15,-0.313
SB,0.6,-0.03,30,25,-0.216
SB,0.6,-0.03,30,35,-0.009
SB,0.6,-0.03,37.1,-15,0.303
SB,0.6,-0.03,37.1,-5,0.03
SB,0.6,-0.03,37.1,5,-0.218
SB,0.6,-0.03,37.1,15,-0.379
SB,0.6,-0.03,37.1,25,-0.303
SB,0.6,-0.03,37.1,35,-0.134
SB,0.6,-0.02,12.1,-15,3.175
SB,0.6,-0.02,12.1,-5,2.031
SB,0.6,-0.02,12.1,5,1.053
SB,0.6,-0.02,12.1,15,0.433
SB,0.6,-0.02,12.1,25,0.674
SB,0.6,-0.02,12.1,35,1.279
SB,0.6,-0.02,18,-15,2.008
SB,0.6,-0.02,18,-5,1.29
SB,0.6,-0.02,18,5,0.667
SB,0.6,-0.02,18,15,0.271
SB,0.6,-0.02,18,25,0.434
SB,0.6,-0.02,18,35,0.828
SB,0.6,-0.02,25.2,-15,1.176
SB,0.6,-0.02,25.2,-5,0.783
SB,0.6,-0.02,25.2,5,0.426
SB,0.6,-0.02,25.2,15,0.202
SB,0.6,-0.02,25.2,25,0.319
SB,0.6,-0.02,25.2,35,0.569
SB,0.6,-0.02,30,-15,0.922
SB,0.6,-0.02,30,-5,0.599
SB,0.6,-0.02,30,5,0.305
SB,0.6,-0.02,30,15,0.118
SB,0.6,-0.02,30,25,0.215
SB,0.6,-0.02,30,35,0.422
SB,0.6,-0.02,37.1,-15,0.719
SB,0.6,-0.02,37.1,-5,0.446
SB,0.6,-0.02,37.1,5,0.197
SB,0.6,-0.02,37.1,15,0.036
SB,0.6,-0.02,37.1,25,0.113
SB,0.6,-0.02,37.1,35,0.281
SB,0.6,-0.01,12.1,-15,3.611
SB,0.6,-0.01,12.1,-5,2.466
SB,0.6,-0.01,12.1,5,1.487
SB,0.6,-0.01,12.1,15,0.867
SB,0.6,-0.01,12.1,25,1.107
SB,0.6,-0.01,12.1,35,1.713
SB,0.6,-0.01,18,-15,2.472
SB,0.6,-0.01,18,-5,1.751
SB,0.6,-0.01,18,5,1.128
SB,0.6,-0.01,18,15,0.731
SB,0.6,-0.01,18,25,0.893
SB,0.6,-0.01,18,35,1.286
SB,0.6,-0.01,25.2,-15,1.655
SB,0.6,-0.01,25.2,-5,1.26
SB,0.6,-0.01,25.2,5,0.902
SB,0.6,-0.01,25.2,15,0.677
SB,0.6,-0.01,25.2,25,0.793
SB,0.6,-0.01,25.2,35,1.042
SB,0.6,-0.01,30,-15,1.409
SB,0.6,-0.01,30,-5,1.085
SB,0.6,-0.01,30,5,0.788
SB,0.6,-0.01,30,15,0.599
SB,0.6,-0.01,30,25,0.695
SB,0.6,-0.01,30,35,0.9
SB,0.6,-0.01,37.1,-15,1.218
SB,0.6,-0.01,37.1,-5,0.941
SB,0.6,-0.01,37.1,5,0.69
SB,0.6,-0.01,37.1,15,0.526
SB,0.6,-0.01,37.1,25,0.601
SB,0.6,-0.01,37.1,35,0.767
SB,0.6,0,12.1,-15,4.104
SB,0.6,0,12.1,-5,2.96
SB,0.6,0,12.1,5,1.981
SB,0.6,0,12.1,15,1.36
SB,0.6,0,12.1,25,1.601
SB,0.6,0,12.1,35,2.206
SB,0.6,0,18,-15,2.98
SB,0.6,0,18,-5,2.26
SB,0.6,0,18,5,1.637
SB,0.6,0,18,15,1.24
SB,0.6,0,18,25,1.401
SB,0.6,0,18,35,1.794
SB,0.6,0,25.2,-15,2.168
SB,0.6,0,25.2,-5,1.773
SB,0.6,0,25.2,5,1.415
SB,0.6,0,25.2,15,1.19
SB,0.6,0,25.2,25,1.306
SB,0.6,0,25.2,35,1.555
SB,0.6,0,30,-15,1.936
SB,0.6,0,30,-5,1.611
SB,0.6,0,30,5,1.314
SB,0.6,0,30,15,1.126
SB,0.6,0,30,25,1.222
SB,0.6,0,30,35,1.426
SB,0.6,0,37.1,-15,1.759
SB,0.6,0,37.1,-5,1.482
SB,0.6,0,37.1,5,1.231
SB,0.6,0,37.1,15,1.067
